coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Tue Jan 21 22:45:27 +0000 2020,coronavirus,,,0,1219752899636613121,,,,en,,,250,1219698632217116673,AnneKPIX,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @AnneKPIX: @CDC has activated its emergency operations center. 
They expect more US cases.
#coronavirus",https://twitter.com/Huerconetzin/status/1219752899636613121,Wed Mar 27 14:08:59 +0000 2019,Huerconetzin,false,"#ʳᵉʸᵈᵉˡⁱᵐᵖᵉʳⁱᵒᵗʷⁱᵗᵗᵉʳᵒ ᶜᵒⁿᵠᵘⁱˢᵗᵃⁿᵈᵒ ᵒᵗʳᵒˢ ᵗⁱᵐᵉ ˡⁱⁿᵉˢ,  ˢⁱ́ᵍᵘᵉᵐᵉ ʸ ʲᵘⁿᵗᵒˢ ᵈᵉᶠᵉⁿᵈᵉʳᵉᵐᵒˢ #ᵗᵘⁱᵗᵗⁿᵒᶜʰᵗⁱᵗˡᵃⁿ.
#ʸᵒᵃᵖᵒʸᵒᵉˡᵖᵃʳᵒ9ᵐ .",16722,418,2036,0,"21.047051,-86.881061",нυєяϲο- иєϲτυzοмα_τℓατοαиι🇲🇽,Huerconetzin,14473,,,false
,Tue Jan 21 22:49:17 +0000 2020,lungcancer,,,0,1219753863940648965,,,,en,,,6,1219746524470685696,OurWarOnCancer,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @OurWarOnCancer: Where is our FEDERAL vaccination education campaign for HPV?! Where is our FEDERAL #lungcancer screening program?! (and…,https://twitter.com/Paxman42/status/1219753863940648965,Wed Dec 18 19:04:31 +0000 2013,Paxman42,false,"Advocacy for Affordable, Accessible, Comprehensive Healthcare for ALL Americans. Retired Physician., cancer survivor. VOTE BLUE.",22769,425,1311,4,"Washington, D.C.",Healthcare4ALL,Paxman42,24813,,,false
,Tue Jan 21 22:18:51 +0000 2020,,,,0,1219746203652456448,,,,en,,,5,1219745789632811009,ScottAnthonyUSA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ScottAnthonyUSA: ⚠️ IT SHOULD BE NOTED that the CDC initially had an embargo placed on CDC testimony.  The TRUMP ADMINISTRATION LIFTED…,https://twitter.com/FREEDANON17/status/1219746203652456448,Sat Mar 03 03:29:43 +0000 2018,FREEDANON17,false,"Q-LIBERTARIAN, PRO-TRUMP, #MAGA! • #1A-#2A- WWG1WGA • SLAVES NO MORE • PATRIOTS UNITED! 🇺🇸🇺🇸RESURRECT THE CONSTITUTION🇺🇸 🇺🇸#THEGREATAWAKENING #QANON",95925,3612,2112,2,"  🌳🇺🇸Tree of Liberty , USA 🌳🇺🇸",🇺🇸FREED•ANON🇺🇸,FREEDANON17,87010,,,false
,Tue Jan 21 22:47:01 +0000 2020,publichealth,,https://go.usa.gov/xph44,0,1219753292571594754,,,,en,,false,15,1219321964852142081,CDCgov,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",RT @CDCgov: PHAP gives future #publichealth professionals critical frontline experience. Apply now! https://t.co/8kzRD1IADl https://t.co/ha…,https://twitter.com/IAmTonyaNash/status/1219753292571594754,Tue Apr 21 06:27:31 +0000 2009,IAmTonyaNash,false,"Carolina girl living in the Peach State. Founder of the  @AutismFaithNet. Wife of 1. Mommy of 2. I tweet about #faith, #autism & #publichealth stuff.",1636,3948,5001,162,"Atlanta, GA","Tonya Nash, MPH, CHES®",IAmTonyaNash,5437,,http://tonyanash.com,false
,Tue Jan 21 22:57:19 +0000 2020,,,,0,1219755883690774529,,,,en,,,171,1219687852486942721,PMBreakingNews,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @PMBreakingNews: Breaking: The CDC is expected to announce the first case of the new strain of coronavirus, or nCov, in Washington state…",https://twitter.com/_ayychris/status/1219755883690774529,Sat Jul 05 23:15:29 +0000 2014,_ayychris,false,sc:ayychris8,6082,149,133,6,"Oxnard, CA",Chris,_ayychris,14441,,,false
,Tue Jan 21 22:50:45 +0000 2020,,,,0,1219754232498266112,,,,en,,,85,1219754042068332546,Reuters,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…,https://twitter.com/ParkvilleMOm/status/1219754232498266112,Wed Oct 15 20:57:08 +0000 2008,ParkvilleMOm,false,Kansas City Native. I am who I am...and that's saying a Lot!,8274,1793,1558,84,"Parkville, MO",Terri Frederick,ParkvilleMOm,17587,,,false
,Tue Jan 21 22:23:58 +0000 2020,,,https://www.theguardian.com/society/2020/jan/21/coronavirus-us-cdc-case-china-health?utm_term=Autofeed&CMP=twt_b-gdnnews&utm_medium=Social&utm_source=Twitter#Echobox=1579634333,0,1219747491265929217,,,,en,,false,17,1219743251797811201,guardiannews,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @guardiannews: Coronavirus: health officials announce first known US case https://t.co/iEAlZy8Dwq,https://twitter.com/wQQn/status/1219747491265929217,Sun Jul 27 04:00:05 +0000 2008,wQQn,false,Information Hub.,5,2023,529,197,Japan,w : [ -Q-o-Q- ] : n,wQQn,913720,,http://twitpic.com/photos/wQQn,false
,Tue Jan 21 22:20:12 +0000 2020,,,,0,1219746544955453441,,,,en,,,74,1219725361296171009,AsapSCIENCE,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @AsapSCIENCE: The CDC just confirmed the first American case of Wuhan coronavirus. 6 people have now died and virologists are figuring o…,https://twitter.com/AkhileshTekade/status/1219746544955453441,Thu Feb 11 18:02:01 +0000 2010,AkhileshTekade,false,“Sorry! I don't like to write about myself”...✍,49,979,369,23,Navi Mumbai ↔ Pune,𝘼𝙠𝙝𝙞𝙡𝙚𝙨𝙝,AkhileshTekade,90375,,,false
,Tue Jan 21 22:56:14 +0000 2020,,,,0,1219755610494861312,,,,en,,,85,1219754042068332546,Reuters,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…,https://twitter.com/MaraTahnee/status/1219755610494861312,Thu Jun 21 14:30:17 +0000 2012,MaraTahnee,false,"Always remember that a smile is something sacred, to be shared.",31109,375,830,17,Italy,Mara Tahnee,MaraTahnee,39220,,,false
,Tue Jan 21 22:41:03 +0000 2020,Pregnant,,,0,1219751790654185473,,,,en,,,1,1219749116592508928,NFIDvaccines,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @NFIDvaccines: #Pregnant? Learn tips for having a healthy pregnancy and giving your baby a healthy start in life: https://t.co/cGo5jeFNC…,https://twitter.com/EverThriveIL/status/1219751790654185473,Mon May 04 14:50:40 +0000 2009,EverThriveIL,false,"We work to improve the health of women, children, and families over the lifespan. 

strong partnerships
diverse voices
health equity.",6022,2283,957,123,"Chicago, IL",EverThrive Illinois,EverThriveIL,8399,,http://www.everthriveil.org,false
